Country,Life expectancy at birth,Mean years of schooling,Gross national income (GNI) per capita (PPP $)
Seychelles,73.746,9.5,26076.89647
Sierra Leone,52.214,3.5,1239.936296
Singapore,83.218,11.47467,82503.12701
Slovakia,76.977,12.45251025,29467.32283
Slovenia,81.116,12.22188,30593.9569
Solomon Islands,71.006,5.54073,1872.453835
South Africa,63.404,10.13415,11923.2677
South Sudan,57.288,4.84913,963.1740924
Spain,83.301,9.81948,34258.29329
Sri Lanka,75.485,10.915,11325.62717
Sudan,64.698,3.67,4119.151849
Suriname,71.523,8.507,13305.81816
Sweden,82.625,12.42605,47765.65603
Switzerland,83.473,13.408,57625.06971
Syrian Arab Republic,70.963,5.0625,2337.170091
Tajikistan,71.214,10.42,3317.42398
Tanzania (United Republic of),66.31,5.78,2655.39382
Thailand,75.498,7.61131,15515.83035
The former Yugoslav Republic of Macedonia,75.851,9.63196,12504.94561
Timor-Leste,69.199,4.5243,6846.390045
Togo,60.477,4.83068,1453.432247
Tonga,73.179,11.18,5547.173004
Trinidad and Tobago,70.783,10.898,28622.30412
Tunisia,75.943,7.17226,10275.31974
Turkey,76.009,7.96206,24803.98873
Turkmenistan,67.956,9.78,15594.47253
Uganda,60.182,6.09025,1657.976334
Ukraine,72.109,11.34,8130.399165
United Arab Emirates,77.412,10.78,67804.55851
United Kingdom,81.717,12.88865,39116.31163
United States,79.541,13.37999,54941.10929
Uruguay,77.645,8.71883,19930.40834
Uzbekistan,71.42,11.52496,6470.082622
Vanuatu,72.334,6.8,2995.279721
Venezuela (Bolivarian Republic of),74.726,10.32343,10671.54155
Viet Nam,76.454,8.2,5858.898113
Yemen,65.157,3,1239.29141
Zambia,62.255,6.97,3557.379352
Zimbabwe,61.712,8.14984,1682.839299
